type,subCity,price,bedRooms,rooms,floor,area,stype
New,saburtalo,242800,2,3,15,92,sale
New,saburtalo,348300,2,3,8,109,sale
New,saburtalo,242800,2,3,15,92,sale
New,saburtalo,348300,2,3,8,109,sale
New,saburtalo,242800,2,3,15,92,sale
New,digomi,125500,2,3,3,76,sale
New,digomi,127800,2,3,3,78,sale
New,digomi,111800,2,3,6,78,sale
New,didube,220000,0,4,10,111,sale
New,digomi,223500,2,3,4,115,sale
New,(i-v),98500,1,2,4,43,sale
New,digomi,179700,1,3,9,81,sale
Old,vake,332800,2,4,3,115,sale
New,digomi,141100,2,3,3,73,sale
New,digomi,141100,1,3,7,70,sale
Old,saburtalo,49300,1,1,5,20,sale
Old,saburtalo,91900,1,1,4,35,sale
Old,saburtalo,71900,1,2,3,29,sale
New,saburtalo,282200,2,3,1,91,sale
New,saburtalo,189000,3,4,4,105,sale
New,vera,665800,3,6,11,218,sale
New,saburtalo,161100,1,2,2,48,sale
New,saburtalo,153100,1,2,5,44,sale
New,saburtalo,178400,1,2,6,61,sale
New,saburtalo,519200,4,6,9,225,sale
New,sololaki,295600,2,3,2,95,sale
New,saburtalo,292900,2,3,3,125,sale
New,saburtalo,313100,0,3,2,98,sale
New,vake,437900,3,4,4,164,sale
New,vake,426000,2,3,2,128,sale
New,saburtalo,98500,1,2,2,37,sale
New,saburtalo,226500,2,3,6,77,sale
New,saburtalo,169100,1,2,15,53,sale
Old,saburtalo,90500,1,2,3,40,sale
Old,saburtalo,65200,1,2,4,26,sale
Old,saburtalo,93200,1,2,4,37,sale
Old,saburtalo,119800,2,3,4,50,sale
New,saburtalo,151800,1,2,16,47,sale
New,gldani,103800,2,3,6,53,sale
New,gldani,83900,2,3,13,74,sale
New,varketili,119800,1,2,7,50,sale
Old,saburtalo,186400,2,3,3,75,sale
New,didube,119800,1,2,2,50,sale
New,digomi,93200,1,2,9,52,sale
New,saburtalo,125100,1,2,6,52,sale
New,saburtalo,210400,3,5,7,90,sale
Old,didube,161000,2,3,4,115,sale
New,saburtalo,292900,2,3,3,100,sale
New,saburtalo,221000,2,3,12,82,sale
New,digomi,111800,2,3,9,63,sale
New,chugureti,505900,3,5,1,180,sale
New,saburtalo,199700,2,3,9,85,sale
New,saburtalo,125000,1,2,1,47,sale
New,(i-v),98500,1,2,4,43,sale
Old,isani,130500,2,3,5,65,sale
Old,isani,130500,2,3,9,65,sale
New,sanzona,70500,2,3,1,63,sale
New,digomi,95000,2,3,8,103,sale
New,digomi,98500,1,2,10,44,sale
New,digomi,90500,1,2,5,53,sale
New,digomi,93200,1,2,8,45,sale
New,saburtalo,378100,1,3,9,90,sale
New,saburtalo,247600,2,3,6,90,sale
Old,saburtalo,85200,1,1,1,35,sale
Old,saburtalo,410100,3,5,4,220,sale
New,saburtalo,269000,2,3,13,90,sale
New,saburtalo,133000,1,2,5,50,sale
Old,didube,141100,1,2,2,68,sale
New,digomi,87500,1,2,11,45,sale
New,digomi,106500,1,2,3,60,sale
New,digomi,97200,1,2,3,52,sale
New,sanzona,90300,0,2,2,64,sale
New,didube,122500,2,3,12,57,sale
New,didube,74600,1,2,12,35,sale
New,saburtalo,346200,3,4,17,150,sale
New,saburtalo,279600,3,5,17,150,sale
New,saburtalo,178400,3,4,17,112,sale
New,saburtalo,151800,2,3,17,80,sale
